Type                                  Module                      Label             Process   
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "hbhereco"                  ""                "RECO"    
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "hfreco"                    ""                "RECO"    
edm::SortedCollection<HGCRecHit,edm::StrictWeakOrdering<HGCRecHit> >    "HGCalRecHit"               "HGCEERecHits"    "RECO"    
edm::SortedCollection<HGCRecHit,edm::StrictWeakOrdering<HGCRecHit> >    "HGCalRecHit"               "HGCHEBRecHits"   "RECO"    
edm::SortedCollection<HGCRecHit,edm::StrictWeakOrdering<HGCRecHit> >    "HGCalRecHit"               "HGCHEFRecHits"   "RECO"    
edm::SortedCollection<HGCRecHit,edm::StrictWeakOrdering<HGCRecHit> >    "HGCalRecHit"               "HGCHFNoseRecHits"   "RECO"    
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "horeco"                    ""                "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterECAL"   "PFClusterAssociationEBEE"   "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterHGCalFromMultiCl"   "PFClusterAssociationEBEE"   "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterECAL"   "PFClusterAssociationES"   "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterHGCalFromMultiCl"   "PFClusterAssociationES"   "RECO"    
edm::ValueMap<edm::Ref<vector<reco::PreId>,reco::PreId,edm::refhelper::FindUsingAdvance<vector<reco::PreId>,reco::PreId> > >    "trackerDrivenElectronSeeds"   "preid"           "RECO"    
edm::ValueMap<float>                  "offlinePrimaryVertices"    ""                "RECO"    
edm::ValueMap<int>                    "offlinePrimaryVertices"    ""                "RECO"    
edmNew::DetSetVector<Phase2TrackerCluster1D>    "siPhase2Clusters"          ""                "RECO"    
edmNew::DetSetVector<SiPixelCluster>    "siPixelClusters"           ""                "RECO"    
edmNew::DetSetVector<SiPixelRecHit>    "siPixelRecHits"            ""                "RECO"    
edmNew::DetSetVector<SiPixelRecHit>    "siPixelRecHitsPreSplitting"   ""                "RECO"    
reco::BeamSpot                        "offlineBeamSpot"           ""                "RECO"    
vector<TrackCandidate>                "electronCkfTrackCandidatesFromMultiCl"   ""                "RECO"    
vector<float>                         "generalTracks"             "MVAValues"       "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterHGCalFromMultiCl"   ""                "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALBarrel"   "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterHGCalFromMultiCl"   "particleFlowBasicClusterECALBarrel"   "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALEndcap"   "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALPreshower"   "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterHGCalFromMultiCl"   "particleFlowBasicClusterECALPreshower"   "RECO"    
vector<reco::Conversion>              "allConversions"            ""                "RECO"    
vector<reco::ElectronSeed>            "ecalDrivenElectronSeedsFromMultiCl"   ""                "RECO"    
vector<reco::ElectronSeed>            "electronMergedSeedsFromMultiCl"   ""                "RECO"    
vector<reco::ElectronSeed>            "trackerDrivenElectronSeeds"   "SeedsForGsf"     "RECO"    
vector<reco::GsfElectron>             "ecalDrivenGsfElectrons"    ""                "RECO"    
vector<reco::GsfElectron>             "ecalDrivenGsfElectronsFromMultiCl"   ""                "RECO"    
